X,Y,OBJECTID,SPEED_HUMP_TYPE,LOCATION
595818.4749,4789382.2883,563,Cushion,254-255 Rosslyn Avenue North
593178.0261,4790082.6161,564,Cushion,172/171 Emerald Street North
593236.7843,4790274.2177,565,Cushion,238-240/237 Emerald Street North
595674.2309,4788568.7179,566,Cushion,60/61 Balmoral Avenue North
595904.1461,4789370.0609,567,Cushion,282/281 Balmoral Avenue North
595834.5822,4789131.6283,568,Cushion,212/213 Balmoral Avenue North
595555.0266,4788145.622,569,Cushion,98-102/99-101 Balmoral Avenue South
595324.281,4788824.3715,570,Cushion,16 Glendale Avenue North
595397.8214,4789077.2309,571,Cushion,80/81 Glendale Avenue North
594013.683,4789283.5417,572,Cushion,30/29 Holton Avenue South
593979.8827,4789177.2672,573,Cushion,64-68/67 Holton Avenue South
590187.7719,4789294.5054,574,Cushion,138 Homewood Avenue
590013.3399,4789346.3095,575,Cushion,189 Homewood Avenue
597167.5884,4788138.2699,576,Cushion,34 Weir Street North
593440.9047,4788999.4401,577,Cushion,43 Myrtle Avenue
588924.2633,4785431.8631,578,Cushion,615/617 Bridagdoon Drive
590093.6048,4787566.9706,579,Cushion,"North Side of Tyne Pl (south leg, on Columbia Dr)"
588415.6759,4789969.4938,580,Cushion,106 Cline Avenue South
593538.1113,4783479.6969,581,Cushion,111 Templemead Drive
